Iteration,Discriminator Loss,Generator Loss
0,0.793083,0.690459
10,0.557914,0.910554
20,0.378709,1.380479
30,0.149206,2.687511
40,0.261184,2.894336
50,0.304943,2.547513
60,0.341438,2.579092
70,0.273710,2.933466
80,0.425243,2.967251
90,0.448676,2.573196
100,0.375754,2.857830
110,0.539579,2.603178
120,0.458987,3.213700
130,0.474379,2.668675
140,3.709664,0.674527
150,3.554751,0.747001
160,0.868184,2.330003
170,4.785483,0.801196
180,0.763998,2.554846
190,9.719172,0.530382
200,0.971472,3.003417
210,2.805512,1.306544
220,13.662792,0.363540
230,17.021004,0.278767
240,17.738993,0.290808
250,6.772380,0.933737
260,1.157361,2.973627
270,1.171570,2.921819
280,18.768684,0.296652
290,1.388506,3.128735
300,1.730354,3.811963
310,21.574972,0.357876
320,23.484558,0.355629
330,1.555309,3.242867
340,20.518349,0.292970
350,21.229774,0.590739
360,8.289751,1.664455
370,6.927330,2.504362
380,3.889122,5.146930
390,4.266806,3.256173
400,118.077904,0.510706
410,9.233106,1.771563
420,2.348240,4.919607
430,14.744314,2.912545
440,16.713852,2.914263
450,9.039371,3.213791
460,3.904092,4.294349
470,2.520612,4.536988
480,19.976402,0.950153
490,18.932486,1.323579
500,4.165752,4.884326
510,35.911549,0.617036
520,35.623497,0.459755
530,9.360228,1.561293
540,11.352140,2.042319
550,3.203118,7.945631
560,4.342526,6.994009
570,3.998546,8.327870
580,16.719959,2.021369
590,19.963631,3.975946
600,17.466682,1.354589
610,4.144251,7.578239
620,35.858109,0.354697
630,5.601754,8.651142
640,3.251984,3.646284
650,70.760544,0.338640
660,19.652079,9.293045
670,63.698677,0.343342
680,17.596272,3.159007
690,6.744169,4.096229
700,21.649744,7.316015
710,3.601271,3.174204
720,13.342474,4.538004
730,6.162053,7.079130
740,32.765453,0.667950
750,10.361420,4.403784
760,18.308304,1.972745
770,8.145317,7.785338
780,50.478981,0.323902
790,9.209087,2.441561
800,28.502247,1.787509
810,18.583632,4.212741
820,17.072264,1.431438
830,20.990728,4.737421
840,8.370736,5.524246
850,12.956741,2.627450
860,18.072784,1.751497
870,10.988615,2.509316
880,32.029068,0.554388
890,35.796967,0.288794
900,9.008461,5.442153
910,13.818879,2.187416
920,20.311283,1.031434
930,26.447119,1.110945
940,20.031826,3.258147
950,19.658253,1.397760
960,3.936944,2.494292
970,7.722056,1.633785
980,11.147543,0.458155
990,2.896838,2.601545
1000,14.987652,1.645094
1010,3.687672,5.665881
1020,3.348170,3.347064
1030,3.866989,1.883794
1040,1.865093,1.863148
1050,1.725099,1.703560
1060,1.604854,1.674587
1070,1.708091,1.657064
1080,1.736870,1.332579
1090,1.628817,1.267900
1100,1.638149,1.625056
1110,1.655610,0.967483
1120,1.677755,1.048342
1130,1.485283,1.108649
1140,1.820303,1.493403
1150,1.622024,1.327497
1160,1.667632,0.990263
1170,1.651249,1.075615
1180,1.582939,1.264068
1190,1.578137,1.096794
1200,1.555065,0.880651
1210,1.537896,1.016059
1220,1.538331,1.018204
1230,1.533214,0.870954
1240,1.578648,0.733258
1250,1.494058,0.976565
1260,1.459247,0.648107
1270,1.468174,1.006181
1280,1.450715,0.819441
1290,1.434223,0.892021
1300,1.384606,0.915498
1310,1.398253,0.731571
1320,1.399307,0.846247
1330,1.385545,0.843308
1340,1.725853,0.768551
1350,1.386144,0.690360
1360,1.349585,0.712171
1370,1.381206,0.706123
1380,1.379871,0.719072
1390,1.368758,0.717226
1400,1.380917,0.703175
1410,1.388419,0.723246
1420,1.378573,0.747687
1430,1.378977,0.678081
1440,1.374062,0.708614
1450,1.371240,0.719528
1460,1.388274,0.746838
1470,1.383230,0.673188
1480,1.411741,0.645892
1490,1.379717,0.542823
1500,1.359457,0.694210
1510,1.378638,0.679901
1520,1.384200,0.677518
1530,1.383552,0.697240
1540,1.321497,0.703529
1550,1.405751,0.678932
1560,1.349347,0.668735
1570,1.382897,0.679307
1580,1.372685,0.674170
1590,1.369826,0.693491
1600,1.361106,0.633762
1610,1.354735,0.597249
1620,1.370541,0.650929
1630,1.360730,0.663864
1640,1.421690,0.576011
1650,1.252462,0.649663
1660,1.445354,0.603652
1670,1.361522,0.616773
1680,1.385495,0.673180
1690,1.366494,0.557365
1700,1.384915,0.700229
1710,1.362261,0.656749
1720,1.271521,0.626572
1730,1.322470,0.545834
1740,1.364985,0.694476
1750,1.770530,0.651072
1760,1.532086,0.634816
1770,1.373016,0.651632
1780,1.306756,0.524328
1790,1.367954,0.663219
1800,1.369657,0.611523
1810,1.360774,0.549832
1820,1.391588,0.668504
1830,1.371290,0.665880
1840,1.390692,0.652167
1850,1.289099,0.454701
1860,1.151728,0.425865
1870,1.286525,0.594542
1880,1.334790,0.424689
1890,1.669553,0.666467
1900,1.238134,0.481200
1910,1.270906,0.735832
1920,1.381900,0.549007
1930,1.347838,0.514693
